student_id,student_firstname,student_lastname,student_email,student_birthdate,student_phone,student_address,student_gender,guardian_name,guardian_contact,student_level,course_id,student_rfid
SCC-2024021,Jack,Zhang,jack.zhang@example.com,2001-02-17,09371234567,680 Moon Street,Male,Hui Zhang,09359012345,3rd Year,BSIT,RF100021
SCC-2024022,Victoria,Liu,victoria.liu@example.com,1999-12-09,09382345678,913 Star Road,Female,Mei Liu,09360123456,1st Year,BSCS,RF100022
SCC-2024023,Oliver,Cho,oliver.cho@example.com,2000-10-26,09393456789,246 Galaxy Lane,Male,Soo Cho,09371234567,2nd Year,BSIT,RF100023
SCC-2024024,Luna,Kang,luna.kang@example.com,2001-07-14,09404567890,579 Universe Drive,Female,Min Kang,09382345678,3rd Year,BSCS,RF100024
SCC-2024025,Leo,Yamamoto,leo.yamamoto@example.com,1999-05-01,09415678901,802 Cosmos Avenue,Male,Hiro Yamamoto,09393456789,1st Year,BSIT,RF100025
SCC-2024026,Grace,Tanaka,grace.tanaka@example.com,2000-03-19,09426789012,135 Neptune Street,Female,Yuki Tanaka,09404567890,2nd Year,BSCS,RF100026
SCC-2024027,Nathan,Suzuki,nathan.suzuki@example.com,2001-01-06,09437890123,468 Mars Road,Male,Kenji Suzuki,09415678901,3rd Year,BSIT,RF100027
SCC-2024028,Zoe,Sato,zoe.sato@example.com,1999-11-23,09448901234,791 Jupiter Lane,Female,Akiko Sato,09426789012,1st Year,BSCS,RF100028
SCC-2024029,Ryan,Watanabe,ryan.watanabe@example.com,2000-08-10,09459012345,024 Saturn Drive,Male,Toshi Watanabe,09437890123,2nd Year,BSIT,RF100029
SCC-2024030,Lily,Ito,lily.ito@example.com,2001-05-28,09460123456,357 Venus Avenue,Female,Yumi Ito,09448901234,3rd Year,BSCS,RF100030
SCC-2024031,Ethan,Nakamura,ethan.nakamura@example.com,1999-09-15,09471234567,680 Mercury Street,Male,Hiroshi Nakamura,09459012345,1st Year,BSIT,RF100031
SCC-2024032,Chloe,Kobayashi,chloe.kobayashi@example.com,2000-06-03,09482345678,913 Pluto Road,Female,Sakura Kobayashi,09460123456,2nd Year,BSCS,RF100032
SCC-2024033,David,Yamada,david.yamada@example.com,2001-03-21,09493456789,246 Earth Lane,Male,Takeshi Yamada,09471234567,3rd Year,BSIT,RF100033
SCC-2024034,Hannah,Saito,hannah.saito@example.com,1999-12-08,09504567890,579 Solar Drive,Female,Kaori Saito,09482345678,1st Year,BSCS,RF100034
SCC-2024035,Andrew,Matsuda,andrew.matsuda@example.com,2000-09-26,09515678901,802 Lunar Avenue,Male,Ryo Matsuda,09493456789,2nd Year,BSIT,RF100035
SCC-2024036,Aria,Fujita,aria.fujita@example.com,2001-07-13,09526789012,135 Stellar Street,Female,Mika Fujita,09504567890,3rd Year,BSCS,RF100036
SCC-2024037,Kevin,Takahashi,kevin.takahashi@example.com,1999-04-30,09537890123,468 Meteor Road,Male,Ken Takahashi,09515678901,1st Year,BSIT,RF100037
SCC-2024038,Scarlett,Nakajima,scarlett.nakajima@example.com,2000-02-17,09548901234,791 Comet Lane,Female,Yoko Nakajima,09526789012,2nd Year,BSCS,RF100038
SCC-2024039,Christopher,Kato,chris.kato@example.com,2001-01-04,09559012345,024 Nova Drive,Male,Masashi Kato,09537890123,3rd Year,BSIT,RF100039
SCC-2024040,Audrey,Yoshida,audrey.yoshida@example.com,1999-10-22,09560123456,357 Orbit Avenue,Female,Emi Yoshida,09548901234,1st Year,BSCS,RF100040
SCC-2024041,Matthew,Inoue,matthew.inoue@example.com,2000-08-09,09571234567,680 Eclipse Street,Male,Daichi Inoue,09559012345,2nd Year,BSIT,RF100041
SCC-2024042,Evelyn,Aoki,evelyn.aoki@example.com,2001-05-27,09582345678,913 Celestial Road,Female,Nana Aoki,09560123456,3rd Year,BSCS,RF100042
SCC-2024043,Joseph,Mori,joseph.mori@example.com,1999-03-14,09593456789,246 Astral Lane,Male,Shota Mori,09571234567,1st Year,BSIT,RF100043
SCC-2024044,Abigail,Abe,abigail.abe@example.com,2000-12-31,09604567890,579 Nebula Drive,Female,Hana Abe,09582345678,2nd Year,BSCS,RF100044
SCC-2024045,Thomas,Harada,thomas.harada@example.com,2001-10-18,09615678901,802 Pulsar Avenue,Male,Yuto Harada,09593456789,3rd Year,BSIT,RF100045
SCC-2024046,Emily,Endo,emily.endo@example.com,1999-07-05,09626789012,135 Quasar Street,Female,Rin Endo,09604567890,1st Year,BSCS,RF100046
SCC-2024047,Samuel,Okada,samuel.okada@example.com,2000-04-23,09637890123,468 Horizon Road,Male,Riku Okada,09615678901,2nd Year,BSIT,RF100047
SCC-2024048,Elizabeth,Maeda,elizabeth.maeda@example.com,2001-02-09,09648901234,791 Dawn Lane,Female,Aoi Maeda,09626789012,3rd Year,BSCS,RF100048
SCC-2024049,Daniel,Nomura,daniel.nomura@example.com,1999-11-27,09659012345,024 Dusk Drive,Male,Sora Nomura,09637890123,1st Year,BSIT,RF100049
SCC-2024050,Madison,Kikuchi,madison.kikuchi@example.com,2000-09-14,09660123456,357 Twilight Avenue,Female,Mai Kikuchi,09648901234,2nd Year,BSCS,RF100050
SCC-2024051,Christopher,Kubo,chris.kubo@example.com,2001-06-01,09671234567,680 Aurora Street,Male,Yuki Kubo,09659012345,3rd Year,BSIT,RF100051
SCC-2024052,Avery,Takeuchi,avery.takeuchi@example.com,1999-03-19,09682345678,913 Rainbow Road,Female,Miu Takeuchi,09660123456,1st Year,BSCS,RF100052
SCC-2024053,Andrew,Fujimoto,andrew.fujimoto@example.com,2000-12-06,09693456789,246 Cloud Lane,Male,Haruki Fujimoto,09671234567,2nd Year,BSIT,RF100053
SCC-2024054,Claire,Ogawa,claire.ogawa@example.com,2001-09-23,09704567890,579 Storm Drive,Female,Yui Ogawa,09682345678,3rd Year,BSCS,RF100054
SCC-2024055,Joshua,Arai,joshua.arai@example.com,1999-06-10,09715678901,802 Thunder Avenue,Male,Kenta Arai,09693456789,1st Year,BSIT,RF100055
SCC-2024056,Natalie,Sakamoto,natalie.sakamoto@example.com,2000-03-28,09726789012,135 Lightning Street,Female,Risa Sakamoto,09704567890,2nd Year,BSCS,RF100056
SCC-2024057,Ryan,Murakami,ryan.murakami@example.com,2001-01-14,09737890123,468 Rain Road,Male,Yuma Murakami,09715678901,3rd Year,BSIT,RF100057
SCC-2024058,Sarah,Nakano,sarah.nakano@example.com,1999-10-02,09748901234,791 Snow Lane,Female,Akane Nakano,09726789012,1st Year,BSCS,RF100058
SCC-2024059,Justin,Ono,justin.ono@example.com,2000-07-19,09759012345,024 Frost Drive,Male,Takumi Ono,09737890123,2nd Year,BSIT,RF100059
SCC-2024060,Rachel,Ishii,rachel.ishii@example.com,2001-04-06,09760123456,357 Ice Avenue,Female,Saki Ishii,09748901234,3rd Year,BSCS,RF100060
SCC-2024061,Brandon,Yamamoto,brandon.yamamoto@example.com,1999-08-23,09771234567,680 Spring Street,Male,Kenji Yamamoto,09759012345,1st Year,BSIT,RF100061
SCC-2024062,Lauren,Tanaka,lauren.tanaka@example.com,2000-05-11,09782345678,913 Summer Road,Female,Ayumi Tanaka,09760123456,2nd Year,BSCS,RF100062
SCC-2024063,Jonathan,Suzuki,jonathan.suzuki@example.com,2001-02-27,09793456789,246 Autumn Lane,Male,Ryota Suzuki,09771234567,3rd Year,BSIT,RF100063
SCC-2024064,Katherine,Sato,katherine.sato@example.com,1999-12-14,09804567890,579 Winter Drive,Female,Yuka Sato,09782345678,1st Year,BSCS,RF100064
SCC-2024065,Tyler,Watanabe,tyler.watanabe@example.com,2000-09-01,09815678901,802 Maple Avenue,Male,Kazuki Watanabe,09793456789,2nd Year,BSIT,RF100065
SCC-2024066,Samantha,Ito,samantha.ito@example.com,2001-06-19,09826789012,135 Cherry Street,Female,Haruna Ito,09804567890,3rd Year,BSCS,RF100066
SCC-2024067,Nicholas,Nakamura,nicholas.nakamura@example.com,1999-03-06,09837890123,468 Sakura Road,Male,Tatsuya Nakamura,09815678901,1st Year,BSIT,RF100067
SCC-2024068,Alexandra,Kobayashi,alexandra.kobayashi@example.com,2000-12-24,09848901234,791 Bamboo Lane,Female,Momoka Kobayashi,09826789012,2nd Year,BSCS,RF100068
SCC-2024069,Eric,Yamada,eric.yamada@example.com,2001-10-11,09859012345,024 Pine Drive,Male,Ryuki Yamada,09837890123,3rd Year,BSIT,RF100069
SCC-2024070,Julia,Saito,julia.saito@example.com,1999-07-28,09860123456,357 Cedar Avenue,Female,Nanami Saito,09848901234,1st Year,BSCS,RF100070
SCC-2024071,Steven,Matsuda,steven.matsuda@example.com,2000-04-15,09871234567,680 Oak Street,Male,Hayato Matsuda,09859012345,2nd Year,BSIT,RF100071
SCC-2024072,Morgan,Fujita,morgan.fujita@example.com,2001-01-02,09882345678,913 Elm Road,Female,Misaki Fujita,09860123456,3rd Year,BSCS,RF100072
SCC-2024073,Timothy,Takahashi,timothy.takahashi@example.com,1999-10-20,09893456789,246 Birch Lane,Male,Shun Takahashi,09871234567,1st Year,BSIT,RF100073
SCC-2024074,Gabriella,Nakajima,gabriella.nakajima@example.com,2000-07-07,09904567890,579 Willow Drive,Female,Ayaka Nakajima,09882345678,2nd Year,BSCS,RF100074
SCC-2024075,Adam,Kato,adam.kato@example.com,2001-04-24,09915678901,802 Aspen Avenue,Male,Yuto Kato,09893456789,3rd Year,BSIT,RF100075
SCC-2024076,Rebecca,Yoshida,rebecca.yoshida@example.com,1999-02-11,09926789012,135 Magnolia Street,Female,Kaho Yoshida,09904567890,1st Year,BSCS,RF100076
SCC-2024077,Patrick,Inoue,patrick.inoue@example.com,2000-11-29,09937890123,468 Dogwood Road,Male,Sota Inoue,09915678901,2nd Year,BSIT,RF100077
SCC-2024078,Caroline,Aoki,caroline.aoki@example.com,2001-09-16,09948901234,791 Redwood Lane,Female,Yuna Aoki,09926789012,3rd Year,BSCS,RF100078
SCC-2024079,Kenneth,Mori,kenneth.mori@example.com,1999-06-03,09959012345,024 Sequoia Drive,Male,Ren Mori,09937890123,1st Year,BSIT,RF100079
SCC-2024080,Allison,Abe,allison.abe@example.com,2000-03-21,09960123456,357 Cypress Avenue,Female,Miki Abe,09948901234,2nd Year,BSCS,RF100080
SCC-2024081,George,Harada,george.harada@example.com,2001-01-07,09971234567,680 Palm Street,Male,Koki Harada,09959012345,3rd Year,BSIT,RF100081
SCC-2024082,Vanessa,Endo,vanessa.endo@example.com,1999-10-25,09982345678,913 Coconut Road,Female,Rika Endo,09960123456,1st Year,BSCS,RF100082
SCC-2024083,Peter,Okada,peter.okada@example.com,2000-08-12,09993456789,246 Banana Lane,Male,Yuki Okada,09971234567,2nd Year,BSIT,RF100083
SCC-2024084,Brianna,Maeda,brianna.maeda@example.com,2001-05-30,09004567890,579 Mango Drive,Female,Sana Maeda,09982345678,3rd Year,BSCS,RF100084
SCC-2024085,Bryan,Nomura,bryan.nomura@example.com,1999-03-17,09015678901,802 Orange Avenue,Male,Riku Nomura,09993456789,1st Year,BSIT,RF100085
SCC-2024086,Nicole,Kikuchi,nicole.kikuchi@example.com,2000-12-04,09026789012,135 Lemon Street,Female,Yui Kikuchi,09004567890,2nd Year,BSCS,RF100086
SCC-2024087,Richard,Kubo,richard.kubo@example.com,2001-09-22,09037890123,468 Lime Road,Male,Haruto Kubo,09015678901,3rd Year,BSIT,RF100087
SCC-2024088,Catherine,Takeuchi,catherine.takeuchi@example.com,1999-07-09,09048901234,791 Apple Lane,Female,Mei Takeuchi,09026789012,1st Year,BSCS,RF100088
SCC-2024089,Scott,Fujimoto,scott.fujimoto@example.com,2000-04-26,09059012345,024 Grape Drive,Male,Yuto Fujimoto,09037890123,2nd Year,BSIT,RF100089
SCC-2024090,Angela,Ogawa,angela.ogawa@example.com,2001-02-13,09060123456,357 Berry Avenue,Female,Hina Ogawa,09048901234,3rd Year,BSCS,RF100090
SCC-2024091,Jeffrey,Arai,jeffrey.arai@example.com,1999-11-30,09071234567,680 Peach Street,Male,Kaito Arai,09059012345,1st Year,BSIT,RF100091
SCC-2024092,Andrea,Sakamoto,andrea.sakamoto@example.com,2000-09-17,09082345678,913 Plum Road,Female,Aoi Sakamoto,09060123456,2nd Year,BSCS,RF100092
SCC-2024093,Gregory,Murakami,gregory.murakami@example.com,2001-06-05,09093456789,246 Pear Lane,Male,Sora Murakami,09071234567,3rd Year,BSIT,RF100093
SCC-2024094,Christine,Nakano,christine.nakano@example.com,1999-03-22,09104567890,579 Fig Drive,Female,Riko Nakano,09082345678,1st Year,BSCS,RF100094
SCC-2024095,Jeremy,Ono,jeremy.ono@example.com,2000-01-09,09115678901,802 Date Avenue,Male,Yuma Ono,09093456789,2nd Year,BSIT,RF100095
SCC-2024096,Michelle,Ishii,michelle.ishii@example.com,2001-10-27,09126789012,135 Kiwi Street,Female,Mio Ishii,09104567890,3rd Year,BSCS,RF100096
SCC-2024097,Stephen,Yamamoto,stephen.yamamoto@example.com,1999-08-14,09137890123,468 Melon Road,Male,Ryo Yamamoto,09115678901,1st Year,BSIT,RF100097
SCC-2024098,Amanda,Tanaka,amanda.tanaka@example.com,2000-05-01,09148901234,791 Papaya Lane,Female,Yuna Tanaka,09126789012,2nd Year,BSCS,RF100098
SCC-2024099,Rachel,Martinez,rachel.martinez@example.com,2001-08-15,09198765432,789 Star Avenue,Female,Carlos Martinez,09187654321,2nd Year,BSIT,RF100099
SCC-2024100,Adrian,Gonzalez,adrian.gonzalez@example.com,2000-11-28,09199876543,456 Moon Street,Male,Maria Gonzalez,09188765432,3rd Year,BSCS,RF100100
SCC-2024101,Elena,Rodriguez,elena.rodriguez@example.com,2001-03-17,09199987654,123 Sun Road,Female,Roberto Rodriguez,09189876543,1st Year,BSIT,RF100101
SCC-2024102,Emma,Williams,emma.williams@example.com,2001-03-22,09162345678,456 Cedar Lane,Female,David Williams,09150123456,2nd Year,BSCS,RF100102
SCC-2024103,Oliver,Brown,oliver.brown@example.com,1999-09-10,09163456789,147 Spruce Drive,Male,Carmen Brown,09161234567,1st Year,BSIT,RF100103
SCC-2024104,Isabella,Davis,isabella.davis@example.com,2000-06-08,09164567890,258 Willow Way,Female,Miguel Davis,09162345678,2nd Year,BSCS,RF100104
SCC-2024105,Alexander,Martin,alex.martin@example.com,2001-04-19,09165678901,369 Ash Avenue,Male,Rosa Martin,09163456789,3rd Year,BSIT,RF100105
SCC-2024106,Sophia,Harris,sophia.harris@example.com,1999-12-03,09166789012,741 Palm Street,Female,Juan Harris,09164567890,1st Year,BSCS,RF100106
SCC-2024107,William,White,william.white@example.com,2000-08-21,09167890123,852 Beach Road,Male,Maria White,09165678901,2nd Year,BSIT,RF100107
SCC-2024108,Olivia,Anderson,olivia.anderson@example.com,2001-01-11,09168901234,963 Coast Highway,Female,Henry Anderson,09166789012,3rd Year,BSCS,RF100108
SCC-2024109,Benjamin,Thomas,ben.thomas@example.com,1999-10-28,09169012345,159 Mountain View,Male,Sofia Thomas,09167890123,1st Year,BSIT,RF100109
SCC-2024110,Mia,Jackson,mia.jackson@example.com,2000-07-16,09170123456,357 Valley Road,Female,Tran Jackson,09168901234,2nd Year,BSCS,RF100110
SCC-2024111,Lucas,Miller,lucas.miller@example.com,2001-03-05,09171234567,246 Lake Avenue,Male,Jin Miller,09169012345,3rd Year,BSIT,RF100111
SCC-2024112,Ava,Wilson,ava.wilson@example.com,1999-11-13,09172345678,135 River Street,Female,Wei Wilson,09170123456,1st Year,BSCS,RF100112
SCC-2024113,Henry,Moore,henry.moore@example.com,2000-09-02,09173456789,468 Forest Lane,Male,Li Moore,09171234567,2nd Year,BSIT,RF100113
SCC-2024114,Charlotte,Taylor,charlotte.taylor@example.com,2001-06-24,09174567890,791 Garden Road,Female,Min Taylor,09172345678,3rd Year,BSCS,RF100114
SCC-2024115,Sebastian,Anderson,sebastian.anderson@example.com,1999-08-07,09175678901,024 Sunset Drive,Male,Jung Anderson,09173456789,1st Year,BSIT,RF100115
SCC-2024116,Amelia,Thomas,amelia.thomas@example.com,2000-04-30,09176789012,357 Sunrise Avenue,Female,Feng Thomas,09174567890,2nd Year,BSCS,RF100116
SCC-2024117,Jack,White,jack.white@example.com,2001-02-17,09177890123,680 Moon Street,Male,Hui White,09175678901,3rd Year,BSIT,RF100117
SCC-2024118,Victoria,Harris,victoria.harris@example.com,1999-12-09,09178901234,913 Star Road,Female,Mei Harris,09176789012,1st Year,BSCS,RF100118
SCC-2024119,Oliver,Martin,oliver.martin@example.com,2000-10-26,09179012345,246 Galaxy Lane,Male,Soo Martin,09177890123,2nd Year,BSIT,RF100119
SCC-2024120,Luna,Brown,luna.brown@example.com,2001-07-14,09180123456,579 Universe Drive,Female,Min Brown,09178901234,3rd Year,BSCS,RF100120
SCC-2024121,Leo,Davis,leo.davis@example.com,1999-05-01,09181234567,802 Cosmos Avenue,Male,Hiro Davis,09179012345,1st Year,BSIT,RF100121
SCC-2024122,Grace,Miller,grace.miller@example.com,2000-03-19,09182345678,135 Neptune Street,Female,Yuki Miller,09180123456,2nd Year,BSCS,RF100122
SCC-2024123,Nathan,Wilson,nathan.wilson@example.com,2001-01-06,09183456789,468 Mars Road,Male,Kenji Wilson,09181234567,3rd Year,BSIT,RF100123
SCC-2024124,Zoe,Moore,zoe.moore@example.com,1999-11-23,09184567890,791 Jupiter Lane,Female,Akiko Moore,09182345678,1st Year,BSCS,RF100124
SCC-2024125,Ryan,Taylor,ryan.taylor@example.com,2000-08-10,09185678901,024 Saturn Drive,Male,Toshi Taylor,09183456789,2nd Year,BSIT,RF100125
SCC-2024126,Lily,Anderson,lily.anderson@example.com,2001-05-28,09186789012,357 Venus Avenue,Female,Yumi Anderson,09184567890,3rd Year,BSCS,RF100126
SCC-2024127,Ethan,Thomas,ethan.thomas@example.com,1999-09-15,09187890123,680 Mercury Street,Male,Hiroshi Thomas,09185678901,1st Year,BSIT,RF100127
SCC-2024128,Chloe,Harris,chloe.harris@example.com,2000-06-03,09188901234,913 Pluto Road,Female,Sakura Harris,09186789012,2nd Year,BSCS,RF100128
SCC-2024129,David,White,david.white@example.com,2001-03-21,09189012345,246 Earth Lane,Male,Takeshi White,09187890123,3rd Year,BSIT,RF100129
SCC-2024130,Hannah,Martin,hannah.martin@example.com,1999-12-08,09190123456,579 Solar Drive,Female,Kaori Martin,09188901234,1st Year,BSCS,RF100130
SCC-2024131,Andrew,Brown,andrew.brown@example.com,2000-09-26,09191234567,802 Lunar Avenue,Male,Ryo Brown,09189012345,2nd Year,BSIT,RF100131
SCC-2024132,Aria,Davis,aria.davis@example.com,2001-07-13,09192345678,135 Stellar Street,Female,Mika Davis,09190123456,3rd Year,BSCS,RF100132
SCC-2024133,Kevin,Miller,kevin.miller@example.com,1999-04-30,09193456789,468 Meteor Road,Male,Ken Miller,09191234567,1st Year,BSIT,RF100133
SCC-2024134,Scarlett,Wilson,scarlett.wilson@example.com,2000-02-17,09194567890,791 Comet Lane,Female,Yoko Wilson,09192345678,2nd Year,BSCS,RF100134
SCC-2024135,Christopher,Moore,chris.moore@example.com,2001-01-04,09195678901,024 Nova Drive,Male,Masashi Moore,09193456789,3rd Year,BSIT,RF100135
SCC-2024136,Audrey,Taylor,audrey.taylor@example.com,1999-10-22,09196789012,357 Orbit Avenue,Female,Emi Taylor,09194567890,1st Year,BSCS,RF100136
SCC-2024137,Matthew,Anderson,matthew.anderson@example.com,2000-08-09,09197890123,680 Eclipse Street,Male,Daichi Anderson,09195678901,2nd Year,BSIT,RF100137
SCC-2024138,Evelyn,Thomas,evelyn.thomas@example.com,2001-05-27,09198901234,913 Celestial Road,Female,Nana Thomas,09196789012,3rd Year,BSCS,RF100138
SCC-2024139,Joseph,Harris,joseph.harris@example.com,1999-03-14,09204567890,246 Astral Lane,Male,Shota Harris,09197890123,1st Year,BSIT,RF100139
SCC-2024140,Abigail,White,abigail.white@example.com,2000-12-31,09215678901,579 Nebula Drive,Female,Hana White,09198901234,2nd Year,BSCS,RF100140
SCC-2024141,Thomas,Martin,thomas.martin@example.com,2001-10-18,09226789012,802 Pulsar Avenue,Male,Yuto Martin,09204567890,3rd Year,BSIT,RF100141
SCC-2024142,Emily,Brown,emily.brown@example.com,1999-07-05,09237890123,135 Quasar Street,Female,Rin Brown,09215678901,1st Year,BSCS,RF100142
SCC-2024143,Samuel,Davis,samuel.davis@example.com,2000-04-23,09248901234,468 Horizon Road,Male,Riku Davis,09226789012,2nd Year,BSIT,RF100143
SCC-2024144,Elizabeth,Miller,elizabeth.miller@example.com,2001-02-09,09259012345,791 Dawn Lane,Female,Aoi Miller,09237890123,3rd Year,BSCS,RF100144
SCC-2024145,Daniel,Wilson,daniel.wilson@example.com,1999-11-27,09260123456,024 Dusk Drive,Male,Sora Wilson,09248901234,1st Year,BSIT,RF100145
SCC-2024146,Madison,Moore,madison.moore@example.com,2000-09-14,09271234567,357 Twilight Avenue,Female,Mai Moore,09259012345,2nd Year,BSCS,RF100146
SCC-2024147,Christopher,Taylor,chris.taylor@example.com,2001-06-01,09282345678,680 Aurora Street,Male,Yuki Taylor,09260123456,3rd Year,BSIT,RF100147
SCC-2024148,Avery,Anderson,avery.anderson@example.com,1999-03-19,09293456789,913 Rainbow Road,Female,Miu Anderson,09271234567,1st Year,BSCS,RF100148
SCC-2024149,Andrew,Thomas,andrew.thomas@example.com,2000-12-06,09294567890,246 Cloud Lane,Male,Haruki Thomas,09282345678,2nd Year,BSIT,RF100149
SCC-2024150,Claire,Harris,claire.harris@example.com,2001-09-23,09304567890,579 Storm Drive,Female,Yui Harris,09293456789,3rd Year,BSCS,RF100150
SCC-2024151,Joshua,White,joshua.white@example.com,1999-06-10,09315678901,802 Thunder Avenue,Male,Kenta White,09304567890,1st Year,BSIT,RF100151
SCC-2024152,Natalie,Martin,natalie.martin@example.com,2000-03-28,09326789012,135 Lightning Street,Female,Risa Martin,09315678901,2nd Year,BSCS,RF100152
SCC-2024153,Ryan,Brown,ryan.brown@example.com,2001-01-14,09337890123,468 Rain Road,Male,Yuma Brown,09326789012,3rd Year,BSIT,RF100153
SCC-2024154,Sarah,Davis,sarah.davis@example.com,1999-10-02,09348901234,791 Snow Lane,Female,Akane Davis,09337890123,1st Year,BSCS,RF100154
SCC-2024155,Marcus,Chen,marcus.chen@example.com,2000-07-15,09401234567,123 Maple Drive,Male,Linda Chen,09391234567,1st Year,BSIT,RF100155
SCC-2024156,Rachel,Kim,rachel.kim@example.com,2001-04-22,09402345678,456 Oak Lane,Female,James Kim,09392345678,2nd Year,BSCS,RF100156
SCC-2024157,Brandon,Wang,brandon.wang@example.com,1999-09-30,09403456789,789 Pine Court,Male,Susan Wang,09393456789,3rd Year,BSIT,RF100157
SCC-2024158,Sophia,Liu,sophia.liu@example.com,2000-06-18,09404567890,321 Cedar Street,Female,Michael Liu,09394567890,1st Year,BSCS,RF100158
SCC-2024159,Jason,Zhang,jason.zhang@example.com,2001-03-25,09405678901,654 Birch Avenue,Male,Jennifer Zhang,09395678901,2nd Year,BSIT,RF100159
SCC-2024160,Emily,Wu,emily.wu@example.com,1999-12-10,09406789012,987 Elm Road,Female,Robert Wu,09396789012,3rd Year,BSCS,RF100160
SCC-2024161,Kevin,Li,kevin.li@example.com,2000-09-05,09407890123,147 Spruce Lane,Male,Patricia Li,09397890123,1st Year,BSIT,RF100161
SCC-2024162,Michelle,Huang,michelle.huang@example.com,2001-06-20,09408901234,258 Willow Path,Female,David Huang,09398901234,2nd Year,BSCS,RF100162
SCC-2024163,Daniel,Zhou,daniel.zhou@example.com,1999-11-15,09409012345,369 Ash Circle,Male,Mary Zhou,09399012345,3rd Year,BSIT,RF100163
SCC-2024164,Angela,Sun,angela.sun@example.com,2000-08-28,09410123456,741 Oak Court,Female,John Sun,09400123456,1st Year,BSCS,RF100164
SCC-2024165,Marco,Dela Cruz,marco.delacruz@example.com,2001-04-12,09411234567,852 Maple Street,Male,Teresa Dela Cruz,09401234567,2nd Year,BSIT,RF100165
SCC-2024166,Sofia,Ramos,sofia.ramos@example.com,2000-09-25,09412345678,963 Pine Avenue,Female,Ramon Ramos,09402345678,3rd Year,BSCS,RF100166
SCC-2024167,Gabriel,Mendoza,gabriel.mendoza@example.com,1999-12-08,09413456789,741 Cedar Road,Male,Maria Mendoza,09403456789,1st Year,BSIT,RF100167
SCC-2024168,Isabella,Santos,isabella.santos@example.com,2001-07-21,09414567890,159 Birch Lane,Female,Jose Santos,09404567890,2nd Year,BSCS,RF100168
